TaskName,TaskType,TaskClass,Rows,Columns,CategoricalColumns,Size,PeakStorageMemory,PeakExecutionMemory,Duration
DecisionTree,Estimator,Classification,274,2,0,0.002809,1.73,1e-06,2203.5
DecisionTree,Estimator,Classification,274,3,0,0.004897,1.74,1e-06,2308.5
DecisionTree,Estimator,Classification,274,4,0,0.00714,1.75,1e-06,2289.5
DecisionTree,Estimator,Classification,274,5,0,0.00967,1.75,1e-06,2312.5
DecisionTree,Estimator,Classification,549,2,0,0.005466,1.73,1e-06,2298.0
DecisionTree,Estimator,Classification,549,3,0,0.009916,1.74,1e-06,2341.0
DecisionTree,Estimator,Classification,549,4,0,0.014376,1.75,1e-06,2350.5
DecisionTree,Estimator,Classification,549,5,0,0.019374,1.75,1e-06,2369.0
DecisionTree,Estimator,Classification,823,2,0,0.008255,1.73,1e-06,2360.5
DecisionTree,Estimator,Classification,823,3,0,0.014682,1.74,1e-06,2383.0
DecisionTree,Estimator,Classification,823,4,0,0.021341,1.75,1e-06,2407.0
DecisionTree,Estimator,Classification,823,5,0,0.029419,1.76,1e-06,2434.5
DecisionTree,Estimator,Classification,1098,2,0,0.010977,1.73,1e-06,2390.0
DecisionTree,Estimator,Classification,1098,3,0,0.019789,1.74,1e-06,2405.5
DecisionTree,Estimator,Classification,1098,4,0,0.028613,1.75,1e-06,2467.5
DecisionTree,Estimator,Classification,1098,5,0,0.038794,1.775,1e-06,2501.5
DecisionTree,Estimator,Classification,1372,2,0,0.013665,1.73,1e-06,2418.0
DecisionTree,Estimator,Classification,1372,3,0,0.024514,1.74,1e-06,2476.5
DecisionTree,Estimator,Classification,1372,4,0,0.035789,1.75,1e-06,2482.0
DecisionTree,Estimator,Classification,1372,5,0,0.044276,1.76,1e-06,2508.0
DecisionTree,Estimator,Classification,1625,6,6,0.018657,4.41,1e-06,2482.0
DecisionTree,Estimator,Classification,1625,10,10,0.031126,7.01,1e-06,2974.5
DecisionTree,Estimator,Classification,1625,15,15,0.046692,10.78,1e-06,3776.0
DecisionTree,Estimator,Classification,1625,19,19,0.059149,14.2,1e-06,4513.5
DecisionTree,Estimator,Classification,3250,6,6,0.037254,4.42,1e-06,2663.0
DecisionTree,Estimator,Classification,3250,10,10,0.06212,7.01,1e-06,3156.5
DecisionTree,Estimator,Classification,3250,15,15,0.093184,10.78,1e-06,4008.5
DecisionTree,Estimator,Classification,3250,19,19,0.118039,14.21,1e-06,4788.0
DecisionTree,Estimator,Classification,4803,481,0,8.325166,12.64,30.01,12618.5
DecisionTree,Estimator,Classification,4803,961,0,18.894535,23.43,57.78,18264.0
DecisionTree,Estimator,Classification,4803,1442,0,30.811817,33.47,66.315,23577.0
DecisionTree,Estimator,Classification,4803,1921,0,42.389276,41.79,107.29,30160.0
DecisionTree,Estimator,Classification,4803,2401,0,53.245032,56.06,187.01,36523.0
DecisionTree,Estimator,Classification,4874,6,6,0.055839,4.765000000000001,1e-06,2745.0
DecisionTree,Estimator,Classification,4874,10,10,0.093095,7.07,1e-06,3298.5
DecisionTree,Estimator,Classification,4874,15,15,0.139647,10.84,1e-06,4177.0
DecisionTree,Estimator,Classification,4874,19,19,0.176892,14.21,1e-06,5009.5
DecisionTree,Estimator,Classification,6499,6,6,0.074436,5.03,1e-06,2859.0
DecisionTree,Estimator,Classification,6499,10,10,0.12409,7.43,1e-06,3417.0
DecisionTree,Estimator,Classification,6499,15,15,0.186139,11.015,1e-06,4334.0
DecisionTree,Estimator,Classification,6499,19,19,0.235781,14.2,1e-06,5183.0
DecisionTree,Estimator,Classification,8124,6,6,0.093032,5.42,1e-06,2915.5
DecisionTree,Estimator,Classification,8124,10,10,0.155084,8.239999999999998,1e-06,3543.5
DecisionTree,Estimator,Classification,8124,15,15,0.23263,11.77,1e-06,4523.0
DecisionTree,Estimator,Classification,8124,19,19,0.294671,14.43,1e-06,5435.0
DecisionTree,Estimator,Classification,9606,481,0,16.651017,22.32,11.050000500000001,12978.5
DecisionTree,Estimator,Classification,9606,961,0,37.780284,41.89,53.33,18550.0
DecisionTree,Estimator,Classification,9606,1442,0,61.650461,57.724999999999994,72.405,26466.0
DecisionTree,Estimator,Classification,9606,1921,0,84.910493,73.09,297.895,39292.0
DecisionTree,Estimator,Classification,9606,2401,0,106.569949,101.045,290.665,47813.0
DecisionTree,Estimator,Classification,14410,481,0,24.98132,31.48,30.07,13032.5
DecisionTree,Estimator,Classification,14410,961,0,56.664343,58.97,47.93,19821.0
DecisionTree,Estimator,Classification,14410,1442,0,92.386895,85.905,132.24,35102.5
DecisionTree,Estimator,Classification,14410,1921,0,127.381102,104.32,161.73000000000002,43140.0
DecisionTree,Estimator,Classification,14410,2401,0,159.714966,145.625,207.065,50395.5
DecisionTree,Estimator,Classification,19213,481,0,33.295776,41.605000000000004,20.01,13070.0
DecisionTree,Estimator,Classification,19213,961,0,75.546374,75.11,90.245,21769.0
DecisionTree,Estimator,Classification,19213,1442,0,123.28475,110.36,95.03,38472.0
DecisionTree,Estimator,Classification,19213,1921,0,169.763014,137.735,264.395,44250.0
DecisionTree,Estimator,Classification,19213,2401,0,212.970258,191.89,197.18,60029.0
DecisionTree,Estimator,Classification,24016,481,0,41.617505,50.075,1e-06,13085.5
DecisionTree,Estimator,Classification,24016,961,0,94.417736,95.13499999999999,107.57499999999999,26093.0
DecisionTree,Estimator,Classification,24016,1442,0,154.035663,137.765,212.23000000000002,38405.5
DecisionTree,Estimator,Classification,24016,1921,0,212.206891,167.695,150.095,51815.0
DecisionTree,Estimator,Classification,24016,2401,0,230.475045,226.65,162.485,62508.0
DecisionTree,Estimator,Classification,33095,4,1,0.337902,32.935,1e-06,4623.5
DecisionTree,Estimator,Classification,33095,7,1,0.534872,33.08,1e-06,5013.5
DecisionTree,Estimator,Classification,33095,9,1,0.689366,33.34,1e-06,5117.5
DecisionTree,Estimator,Classification,33095,12,1,1.01088,33.675,1e-06,5541.5
DecisionTree,Estimator,Classification,33095,14,1,1.241956,34.19,1e-06,5585.0
DecisionTree,Estimator,Classification,66190,4,1,0.675655,66.89,1e-06,6489.5
DecisionTree,Estimator,Classification,66190,7,1,1.06963,64.96000000000001,1e-06,7019.0
DecisionTree,Estimator,Classification,66190,9,1,1.378381,65.35,1e-06,7292.0
DecisionTree,Estimator,Classification,66190,12,1,2.020999,68.5,1e-06,7736.5
DecisionTree,Estimator,Classification,66190,14,1,2.483536,68.405,1e-06,8128.5
DecisionTree,Estimator,Classification,99284,4,1,1.013644,99.075,1e-06,8116.5
DecisionTree,Estimator,Classification,99284,7,1,1.604672,100.615,1e-06,9132.0
DecisionTree,Estimator,Classification,99284,9,1,2.067579,105.86,1e-06,9498.0
DecisionTree,Estimator,Classification,99284,12,1,3.032122,107.53,1e-06,10099.0
DecisionTree,Estimator,Classification,99284,14,1,3.725372,107.54,1e-06,10480.5
DecisionTree,Estimator,Classification,116202,12,0,3.299891,19.395,1e-06,7815.5
DecisionTree,Estimator,Classification,116202,23,0,6.563619,23.88,1e-06,7196.0
DecisionTree,Estimator,Classification,116202,34,0,9.304573,29.65,1e-06,7042.5
DecisionTree,Estimator,Classification,116202,45,0,12.121251,34.15,1e-06,6905.0
DecisionTree,Estimator,Classification,116202,55,0,14.336944,38.614999999999995,1e-06,6978.5
DecisionTree,Estimator,Classification,132379,4,1,1.351325,155.4,1e-06,9958.5
DecisionTree,Estimator,Classification,132379,7,1,2.139295,128.53,1e-06,11062.5
DecisionTree,Estimator,Classification,132379,9,1,2.756615,159.16,1e-06,11473.0
DecisionTree,Estimator,Classification,132379,12,1,4.042283,146.425,1e-06,12213.0
DecisionTree,Estimator,Classification,132379,14,1,4.966506,133.86,1e-06,11040.5
DecisionTree,Estimator,Classification,165474,4,1,1.689241,157.55,1e-06,11498.5
DecisionTree,Estimator,Classification,165474,7,1,2.674202,160.09,1e-06,13043.5
DecisionTree,Estimator,Classification,165474,9,1,3.445766,161.37,1e-06,13594.5
DecisionTree,Estimator,Classification,165474,12,1,5.05303,162.97,1e-06,12238.5
DecisionTree,Estimator,Classification,165474,14,1,6.366044,168.04,1e-06,10831.5
DecisionTree,Estimator,Classification,232405,12,0,6.600268,37.185,1e-06,8899.0
DecisionTree,Estimator,Classification,232405,23,0,13.128395,46.45,1e-06,7514.5
DecisionTree,Estimator,Classification,232405,34,0,18.607503,57.22,1e-06,7215.5
DecisionTree,Estimator,Classification,232405,45,0,24.241912,66.175,1e-06,7219.5
DecisionTree,Estimator,Classification,232405,55,0,28.675522,75.055,1e-06,7272.0
DecisionTree,Estimator,Classification,348607,12,0,9.899996,55.36,1e-06,9260.5
